	default		no sep		no reuse		no sigma		no gen	
filename	times	eq	times	eq	times	eq	times	eq	times	eq
arrays.bils	0.011	N/A	0.029	N/A	0.012	N/A	0.010	N/A	0.013	N/A
bsearch-eq-1.bils	0.040	yes	0.025	yes	0.028	yes	0.646	N/A	0.029	yes
bsearch-eq-2.bils	0.028	N/A	0.021	N/A	0.022	N/A	0.026	N/A	0.029	N/A
bsearch-eq-3.bils	0.025	N/A	0.023	N/A	0.023	N/A	0.047	N/A	0.039	N/A
cell-1.bils	0.004	yes	0.003	yes	0.003	yes	0.003	yes	0.005	yes
cell-2.bils	0.005	yes	0.004	yes	0.003	yes	0.003	yes	0.003	yes
cell-3.bils	0.006	yes	0.024	N/A	0.003	yes	0.004	yes	0.004	yes
cell-4.bils	0.026	yes	0.020	yes	0.020	yes	0.004	N/A	0.004	N/A
cell-5.bils	0.017	yes	0.016	yes	0.016	yes	0.084	N/A	0.008	yes
fact-tail-rec.bils	0.010	N/A	0.010	N/A	0.010	N/A	0.009	N/A	0.010	N/A
gc-equiv-2.bils	0.006	yes	0.003	yes	0.003	yes	0.003	yes	0.003	yes
gc-equiv.bils	0.005	yes	0.002	yes	0.002	yes	0.002	yes	0.003	yes
hector-bsort-CN5-sorted.bils	0.006	N/A	0.005	N/A	0.004	N/A	0.004	N/A	0.005	N/A
hector-bsort-isort-CN100-all-steps.bils	0.067	N/A	0.203	N/A	0.065	N/A	0.061	N/A	0.098	N/A
hector-bsort-isort-CN10-all-steps.bils	0.013	N/A	0.029	N/A	0.011	N/A	0.011	N/A	0.012	N/A
hector-bsort-isort-CN10-one-step.bils	0.010	N/A	0.012	N/A	0.009	N/A	0.009	N/A	0.011	N/A
hector-bsort-isort-CN2-one-step.bils	0.006	N/A	0.005	N/A	0.005	N/A	0.005	N/A	0.006	N/A
hector-bsort-isort-CN5-one-step.bils	0.008	N/A	0.008	N/A	0.008	N/A	0.006	N/A	0.007	N/A
hector-isort-CN5.bils	0.005	N/A	0.006	N/A	0.005	N/A	0.005	N/A	0.007	N/A
hector-pitts-stark.bils	0.004	N/A	0.004	N/A	0.004	N/A	0.004	N/A	0.004	N/A
hector-scope-extrusion-2-3.bils	0.003	yes	0.014	N/A	0.003	yes	0.003	yes	0.004	yes
hector-thamsborg.bils	0.034	N/A	0.016	N/A	0.019	N/A	0.016	N/A	0.024	N/A
identity-1.bils	0.003	yes	0.002	yes	0.003	yes	0.003	yes	0.004	yes
identity-2.bils	0.003	yes	0.003	yes	0.003	yes	0.003	yes	0.005	yes
list-msort-N100.bils	0.123	N/A	0.335	N/A	0.100	N/A	0.095	N/A	0.145	N/A
list-qsort-msort-N100.bils	0.144	N/A	0.235	N/A	0.135	N/A	0.135	N/A	0.157	N/A
list-qsort-N100.bils	0.078	N/A	0.230	N/A	0.073	N/A	0.073	N/A	0.079	N/A
mccarthy.bils	0.012	N/A	0.013	N/A	0.012	N/A	0.013	N/A	0.016	N/A
mccarthy-imp.bils	0.019	N/A	0.011	N/A	0.011	N/A	0.013	N/A	0.014	N/A
mccarthy-knuth2.bils	0.015	N/A	0.016	N/A	0.015	N/A	0.015	N/A	0.016	N/A
mccarthy-knuth.bils	0.012	N/A	0.012	N/A	0.012	N/A	0.012	N/A	0.012	N/A
meyer-sieber-1.bils	0.006	yes	1.098	N/A	0.006	yes	0.004	N/A	0.004	N/A
meyer-sieber-fin.bils	0.005	N/A	0.091	N/A	0.004	N/A	0.004	N/A	0.004	N/A
meyer-sieber-multi-inv.bils	0.007	N/A	0.511	N/A	0.006	N/A	0.004	N/A	0.004	N/A
meyer-sieber-stack.bils	0.071	N/A	0.067	N/A	0.069	N/A	0.021	N/A	0.030	N/A
mult2.bils	0.028	N/A	0.026	N/A	0.025	N/A	0.026	N/A	0.041	N/A
mult.bils	0.036	N/A	0.027	N/A	0.027	N/A	0.027	N/A	0.033	N/A
nr-equiv-int.bils	0.003	yes	0.006	N/A	0.003	yes	0.003	yes	0.003	yes
nr-equiv-no-g-2.bils	0.003	yes	0.003	yes	0.003	yes	0.003	yes	0.003	yes
nr-equiv-no-g.bils	0.003	yes	0.003	yes	0.003	yes	0.003	yes	0.002	yes
nr-equiv-unit.bils	0.003	yes	0.006	N/A	0.002	yes	0.002	yes	0.002	yes
pitts-1-2.bils	0.005	yes	0.004	yes	0.005	yes	0.006	N/A	0.006	N/A
pitts-3.11.bils	0.004	N/A	0.009	N/A	0.003	N/A	0.003	N/A	0.006	N/A
pitts-3.11v2.bils	0.003	N/A	0.003	N/A	0.002	N/A	0.002	N/A	0.003	N/A
pitts-3.14.bils	0.006	N/A	0.168	N/A	0.005	N/A	0.005	N/A	0.008	N/A
qsort-isort-N100.bils	0.066	N/A	0.207	N/A	0.063	N/A	0.062	N/A	0.064	N/A
reve-ackermann.bils	0.055	N/A	0.039	N/A	0.040	N/A	0.039	N/A	0.047	N/A
reve-add-horn.bils	0.020	N/A	0.020	N/A	0.019	N/A	0.019	N/A	0.022	N/A
reve-barthe2.bils	0.005	N/A	0.006	N/A	0.005	N/A	0.006	N/A	0.009	N/A
reve-barthe.bils	0.017	N/A	0.011	N/A	0.012	N/A	0.011	N/A	0.014	N/A
reve-inlining.bils	0.027	N/A	0.028	N/A	0.027	N/A	0.027	N/A	0.027	N/A
reve-limit1unrolled.bils	0.059	N/A	0.045	N/A	0.045	N/A	0.045	N/A	0.052	N/A
reve-limit2.bils	0.015	N/A	0.013	N/A	0.013	N/A	0.013	N/A	0.021	N/A
reve-loop5.bils	0.007	N/A	0.006	N/A	0.007	N/A	0.006	N/A	0.010	N/A
reve-mccarthy.bils	0.017	N/A	0.017	N/A	0.017	N/A	0.016	N/A	0.021	N/A
reve-nested-while.bils	0.006	N/A	0.007	N/A	0.006	N/A	0.007	N/A	0.007	N/A
reve-square-twice.bils	0.011	N/A	0.009	N/A	0.008	N/A	0.008	N/A	0.010	N/A
sigma-gc-equiv.bils	0.008	N/A	0.006	N/A	0.006	N/A	0.006	N/A	0.009	N/A
state-dependent-1-bad-inv.bils	0.011	N/A	0.007	N/A	0.007	N/A	0.005	N/A	0.005	N/A
state-dependent-1.bils	0.006	N/A	0.005	N/A	0.004	N/A	0.004	N/A	0.006	N/A
state-dependent-2.bils	0.005	N/A	0.005	N/A	0.003	N/A	0.003	N/A	0.004	N/A
state-dependent-3.bils	0.010	N/A	0.010	N/A	0.010	N/A	0.005	N/A	0.006	N/A
state-dependent-4.bils	0.003	yes	0.037	N/A	0.003	yes	0.003	yes	0.003	yes
state-dependent-4v2.bils	0.011	N/A	0.009	N/A	0.010	N/A	0.011	N/A	0.010	N/A
stateful-args-eq-2.bils	0.023	N/A	0.022	N/A	0.024	N/A	0.023	N/A	0.033	N/A
stateful-args-eq.bils	0.025	N/A	0.023	N/A	0.024	N/A	0.024	N/A	0.027	N/A
symb-const-1.bils	0.006	yes	0.101	N/A	0.003	yes	0.004	yes	0.004	yes
symb-const-2.bils	0.004	yes	0.029	N/A	0.004	yes	0.003	yes	0.004	yes
symb-const-5.bils	0.004	N/A	0.014	N/A	0.004	N/A	0.004	N/A	0.005	N/A
symb-const-min.bils	0.003	yes	0.003	yes	0.003	yes	0.003	yes	0.004	yes
syteci-call-lock.bils	0.401	N/A	1.411	N/A	0.264	N/A	0.260	N/A	0.306	N/A
syteci-fact.bils	0.012	N/A	0.013	N/A	0.009	N/A	0.009	N/A	0.010	N/A
syteci-fact-state.bils	0.028	N/A	0.020	N/A	0.020	N/A	0.020	N/A	0.021	N/A
syteci-irrerse-state.bils	0.004	N/A	0.004	N/A	0.004	N/A	0.003	N/A	0.004	N/A
syteci-rep-ind.bils	0.106	N/A	0.561	N/A	0.084	N/A	0.083	N/A	0.085	N/A
syteci-well-bracket-state.bils	0.019	N/A	0.016	N/A	0.017	N/A	0.017	N/A	0.019	N/A
takeuchi-knuth.bils	0.018	N/A	0.018	N/A	0.019	N/A	0.018	N/A	0.019	N/A
trivial-equiv.bils	0.004	yes	0.003	yes	0.002	yes	0.002	yes	0.003	yes
vk-arrays.bils	0.005	yes	0.006	N/A	0.005	yes	0.006	yes	0.005	yes
vk-Oct9-1520.bils	0.015	N/A	0.014	N/A	0.014	N/A	0.014	N/A	0.018	N/A
