	default		no sep		no reuse		no sigma		no gen	
filename	times	eq	times	eq	times	eq	times	eq	times	eq
bsearch-ineq-1.bils	0.016	no	0.012	no	0.012	no	0.012	no	0.016	no
bsearch-ineq-2.bils	0.018	no	0.017	no	0.017	no	0.019	no	0.023	no
bsearch-ineq-3.bils	0.090	no	0.052	no	0.053	no	0.080	no	0.087	no
bsearch-ineq-4.bils	0.014	no	0.013	no	0.013	no	0.013	no	0.013	no
bsearch-ineq-5.bils	0.023	no	0.017	no	0.018	no	0.019	no	0.022	no
call-nested-param.bils	2.647	no	2.563	no	2.675	no	2.657	no	2.688	no
cross-reentrancy-param.bils	0.093	no	0.084	no	0.087	no	0.084	no	0.105	no
cross-reentrancy-param-v2.bils	0.356	no	0.295	no	0.232	no	0.231	no	0.292	no
cross-reentrancy-param-v3.bils	0.212	no	0.239	no	0.193	no	0.187	no	0.276	no
ex3.4-e.bils	0.003	no	0.003	no	0.003	no	0.003	no	0.003	no
ex3.5-e.bils	0.003	no	0.002	no	0.002	no	0.002	no	0.003	no
ex4v1-ineq.bils	0.003	no	0.003	no	0.003	no	0.003	no	0.003	no
ex4v2-ineq.bils	0.008	no	0.007	no	0.007	no	0.007	no	0.012	no
ex4v3-ineq.bils	0.023	no	0.023	no	0.022	no	0.022	no	0.026	no
ex4v4-ineq.bils	0.012	no	0.010	no	0.011	no	0.011	no	0.012	no
ex4v5-ineq.bils	0.024	no	0.022	no	0.024	no	0.023	no	0.023	no
hector-bsort-isort-CN10.bils	0.011	N/A	0.012	N/A	0.009	N/A	0.009	N/A	0.014	N/A
hector-bsort-isort-CN2.bils	0.012	no	1.129	no	0.011	no	0.012	no	0.012	no
hector-bsort-isort-CN5.bils	0.006	N/A	0.008	N/A	0.006	N/A	0.006	N/A	0.007	N/A
hector-bsort-isort-CNE.bils	0.024	no	0.280	no	0.023	no	0.023	no	0.023	no
hector-kierstead.bils	0.003	no	0.039	no	0.003	no	0.003	no	0.005	no
hector-scope-extrusion-1-2.bils	0.005	no	0.009	no	0.005	no	0.005	no	0.005	no
hector-scope-extrusion-1-3.bils	0.007	no	0.008	no	0.005	no	0.005	no	0.005	no
hector-snapback.bils	0.004	no	0.004	no	0.003	no	0.003	no	0.003	no
hector-stark-tricky.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.004	no
holik-file-lock-param-e.bils	0.006	no	0.005	no	0.005	no	0.005	no	0.006	no
holik-file-lock-param-e-large.bils	0.025	no	0.025	no	0.024	no	0.023	no	0.037	no
holik-flat-combiner-e.bils	0.066	no	0.036	no	0.042	no	0.042	no	0.051	no
holik-flat-combiner-v2-e.bils	0.337	N/A	2.267	N/A	0.318	N/A	0.319	N/A	0.393	N/A
holik-flat-combiner-v4-e.bils	0.241	N/A	1.563	N/A	0.236	N/A	0.237	N/A	0.247	N/A
holik-reentrancy-e2.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.004	no
holik-reentrancy-e3.bils	0.477	no	0.435	no	0.458	no	0.445	no	0.515	no
holik-reentrancy-e.bils	0.004	no	0.003	no	0.003	no	0.003	no	0.003	no
holik-reentrancy-ev2.bils	0.018	no	0.015	no	0.015	no	0.018	no	0.015	no
holik-reentrancy-ev.bils	0.019	no	0.016	no	0.016	no	0.018	no	0.028	no
invariants-1.bils	0.020	no	0.017	no	0.017	no	0.007	no	0.008	no
invariants-2.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.004	no
invariants-3.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.005	no
invariants-4.bils	0.638	no	0.516	no	0.529	no	0.099	no	0.129	no
mccarthy-ineq.bils	0.035	no	0.024	no	0.024	no	0.025	no	0.027	no
mccarthy-knuth2-ineq.bils	0.017	no	0.014	no	0.014	no	0.015	no	0.019	no
meyer-sieber-ineq.bils	0.005	no	0.326	no	0.004	no	0.004	no	0.006	no
meyer-sieber-v2-ineq.bils	0.005	no	0.004	no	0.003	no	0.003	no	0.004	no
reve-ackermann-ineq.bils	0.048	no	0.042	no	0.041	no	0.042	no	0.052	no
reve-add-horn-ineq.bils	0.023	no	0.019	no	0.019	no	0.019	no	0.022	no
reve-barthe-ineq.bils	0.165	no	0.138	no	0.136	no	0.138	no	0.168	no
reve-inlining-ineq.bils	0.027	no	0.026	no	0.026	no	0.027	no	0.042	no
reve-limit1-ineq.bils	0.012	no	0.012	no	0.012	no	0.012	no	0.021	no
reve-limit2-ineq.bils	0.261	no	0.146	no	0.143	no	0.146	no	0.164	no
reve-loop5-ineq.bils	0.008	no	0.007	no	0.007	no	0.008	no	0.008	no
reve-nested-while-ineq.bils	0.008	no	0.007	no	0.007	no	0.007	no	0.010	no
rivcp-4.1.2-e.bils	0.016	no	0.013	no	0.014	no	0.014	no	0.023	no
state-dependent-3-ineq.bils	0.005	no	0.006	no	0.006	no	0.006	no	0.007	no
state-dependent-4-ineq.bils	0.004	no	0.003	no	0.003	no	0.003	no	0.005	no
state-dependent-4-v2a-ineq.bils	0.004	no	0.003	no	0.004	no	0.003	no	0.005	no
state-dependent-4-v2b-ineq.bils	0.004	no	0.003	no	0.005	no	0.004	no	0.005	no
state-dependent-4-v3.bils	0.004	no	0.003	no	0.004	no	0.004	no	0.006	no
stateful-args-ineq.bils	0.011	no	0.007	no	0.007	no	0.007	no	0.008	no
symb-const-3.1.bils	0.004	no	0.004	no	0.003	no	0.003	no	0.004	no
symb-const-3.bils	0.004	no	0.004	no	0.003	no	0.003	no	0.005	no
symb-const-4.bils	0.004	no	0.004	no	0.003	no	0.003	no	0.005	no
syteci-fact-e.bils	0.013	no	0.011	no	0.010	no	0.010	no	0.012	no
vk-arrays-ineq.bils	0.008	no	0.007	no	0.006	no	0.007	no	0.007	no
vk-Aug10-1755.bils	0.026	no	0.201	no	0.017	no	0.023	no	0.026	no
vk-Oct9-1520.bils	0.015	no	0.014	no	0.014	no	0.014	no	0.017	no
