	default		no sep		no reuse		no sigma		no gen	
filename	times	eq	times	eq	times	eq	times	eq	times	eq
bsearch-ineq-1.bils	0.013	no	0.012	no	0.013	no	0.018	no	0.014	no
bsearch-ineq-2.bils	0.018	no	0.016	no	0.017	no	0.022	no	0.021	no
bsearch-ineq-3.bils	0.034	no	0.030	no	0.030	no	0.041	no	0.037	no
bsearch-ineq-4.bils	0.026	no	0.013	no	0.013	no	0.014	no	0.020	no
bsearch-ineq-5.bils	0.027	no	0.018	no	0.019	no	0.026	no	0.029	no
call-nested-param.bils	1.766	no	1.045	no	1.084	no	1.215	no	2.212	no
cross-reentrancy-param.bils	0.047	no	0.044	no	0.045	no	0.052	no	0.048	no
cross-reentrancy-param-v2.bils	0.886	no	0.589	no	0.594	no	0.613	no	0.628	no
cross-reentrancy-param-v3.bils	0.499	no	0.483	no	0.482	no	0.508	no	0.791	no
ex3.4-e.bils	0.004	no	0.003	no	0.004	no	0.004	no	0.004	no
ex3.5-e.bils	0.003	no	0.002	no	0.002	no	0.003	no	0.003	no
ex4v1-ineq.bils	0.005	no	0.005	no	0.005	no	0.005	no	0.005	no
ex4v2-ineq.bils	0.006	no	0.005	no	0.004	no	0.004	no	0.005	no
ex4v3-ineq.bils	0.005	no	0.004	no	0.004	no	0.005	no	0.007	no
ex4v4-ineq.bils	0.005	no	0.004	no	0.004	no	0.005	no	0.006	no
ex4v5-ineq.bils	0.008	no	0.005	no	0.005	no	0.005	no	0.006	no
hector-bsort-isort-CN10.bils	0.012	N/A	0.011	N/A	0.011	N/A	0.012	N/A	0.013	N/A
hector-bsort-isort-CN2.bils	1.148	no	1.091	no	1.092	no	1.117	no	1.207	no
hector-bsort-isort-CN5.bils	0.008	N/A	0.007	N/A	0.007	N/A	0.008	N/A	0.008	N/A
hector-bsort-isort-CNE.bils	0.714	N/A	0.669	N/A	0.683	N/A	1.276	no	0.728	N/A
hector-kierstead.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.005	no
hector-scope-extrusion-1-2.bils	0.006	no	0.005	no	0.005	no	0.007	no	0.006	no
hector-scope-extrusion-1-3.bils	0.006	no	0.005	no	0.005	no	0.007	no	0.006	no
hector-snapback.bils	0.016	no	0.012	no	0.012	no	0.013	no	0.013	no
hector-stark-tricky.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.004	no
holik-file-lock-param-e.bils	0.009	no	0.005	no	0.006	no	0.005	no	0.006	no
holik-file-lock-param-e-large.bils	0.025	no	0.024	no	0.024	no	0.025	no	0.025	no
holik-flat-combiner-e.bils	0.039	no	0.036	no	0.036	no	0.039	no	0.037	no
holik-flat-combiner-v2-e.bils	1.410	N/A	1.501	N/A	1.302	N/A	1.446	N/A	1.451	N/A
holik-flat-combiner-v4-e.bils	1.529	N/A	1.413	N/A	1.418	N/A	2.241	N/A	1.569	N/A
holik-reentrancy-e2.bils	0.005	no	0.004	no	0.004	no	0.004	no	0.004	no
holik-reentrancy-e3.bils	0.031	no	0.030	no	0.029	no	0.033	no	0.031	no
holik-reentrancy-e.bils	0.005	no	0.004	no	0.004	no	0.006	no	0.004	no
holik-reentrancy-ev2.bils	0.023	no	0.019	no	0.019	no	0.025	no	0.020	no
holik-reentrancy-ev.bils	0.022	no	0.018	no	0.018	no	0.020	no	0.019	no
invariants-1.bils	0.016	no	0.015	no	0.015	no	0.006	no	0.005	no
invariants-2.bils	0.004	no	0.004	no	0.004	no	0.005	no	0.004	no
invariants-3.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.005	no
invariants-4.bils	0.062	no	0.059	no	0.060	no	0.016	no	0.014	no
mccarthy-ineq.bils	0.038	no	0.024	no	0.024	no	0.088	no	0.025	no
mccarthy-knuth2-ineq.bils	0.014	no	0.014	no	0.014	no	0.044	no	0.015	no
meyer-sieber-ineq.bils	0.004	no	0.004	no	0.004	no	0.004	no	0.004	no
meyer-sieber-v2-ineq.bils	0.005	no	0.004	no	0.004	no	0.005	no	0.006	no
reve-ackermann-ineq.bils	0.052	no	0.042	no	0.043	no	0.055	no	0.044	no
reve-add-horn-ineq.bils	0.023	no	0.019	no	0.019	no	0.052	no	0.029	no
reve-barthe-ineq.bils	0.165	no	0.138	no	0.139	no	0.171	no	0.143	no
reve-inlining-ineq.bils	0.032	no	0.026	no	0.026	no	0.033	no	0.026	no
reve-limit1-ineq.bils	0.013	no	0.012	no	0.012	no	0.040	no	0.013	no
reve-limit2-ineq.bils	0.149	no	0.147	no	0.144	no	70.074	no	0.223	no
reve-loop5-ineq.bils	0.007	no	0.007	no	0.007	no	0.010	no	0.008	no
reve-nested-while-ineq.bils	0.007	no	0.007	no	0.007	no	0.009	no	0.007	no
